2018-08-17 16:18:49,814 - log\train.log - INFO - model_type     :	idcnn
2018-08-17 16:18:49,814 - log\train.log - INFO - num_chars      :	2677
2018-08-17 16:18:49,814 - log\train.log - INFO - char_dim       :	100
2018-08-17 16:18:49,814 - log\train.log - INFO - num_tags       :	51
2018-08-17 16:18:49,815 - log\train.log - INFO - seg_dim        :	20
2018-08-17 16:18:49,815 - log\train.log - INFO - lstm_dim       :	100
2018-08-17 16:18:49,815 - log\train.log - INFO - batch_size     :	60
2018-08-17 16:18:49,816 - log\train.log - INFO - emb_file       :	e:\objectTest\NERuselocal\data\vec.txt
2018-08-17 16:18:49,816 - log\train.log - INFO - clip           :	5
2018-08-17 16:18:49,816 - log\train.log - INFO - dropout_keep   :	0.5
2018-08-17 16:18:49,816 - log\train.log - INFO - optimizer      :	adam
2018-08-17 16:18:49,816 - log\train.log - INFO - lr             :	0.001
2018-08-17 16:18:49,817 - log\train.log - INFO - tag_schema     :	iobes
2018-08-17 16:18:49,817 - log\train.log - INFO - pre_emb        :	True
2018-08-17 16:18:49,817 - log\train.log - INFO - zeros          :	True
2018-08-17 16:18:49,817 - log\train.log - INFO - lower          :	False
2018-08-17 16:19:01,146 - log\train.log - INFO - Created model with fresh parameters.
2018-08-17 16:19:07,264 - log\train.log - INFO - Load pre-trained embedding.
2018-08-17 16:19:07,264 - log\train.log - INFO - start training
2018-08-17 16:24:33,648 - log\train.log - INFO - iteration:1 step:100/1687, NER loss:79.399948
2018-08-17 16:25:01,357 - log\train.log - INFO - iteration:1 step:200/1687, NER loss:44.020531
2018-08-17 16:25:22,967 - log\train.log - INFO - iteration:1 step:300/1687, NER loss:30.892990
2018-08-17 16:25:44,641 - log\train.log - INFO - iteration:1 step:400/1687, NER loss:25.227846
2018-08-17 16:26:02,690 - log\train.log - INFO - iteration:1 step:500/1687, NER loss:22.122522
2018-08-17 16:26:18,518 - log\train.log - INFO - iteration:1 step:600/1687, NER loss:19.117270
2018-08-17 16:26:36,221 - log\train.log - INFO - iteration:1 step:700/1687, NER loss:11.560672
2018-08-17 16:26:50,648 - log\train.log - INFO - iteration:1 step:800/1687, NER loss:13.229963
2018-08-17 16:27:04,854 - log\train.log - INFO - iteration:1 step:900/1687, NER loss:10.731706
2018-08-17 16:27:15,927 - log\train.log - INFO - iteration:1 step:1000/1687, NER loss: 7.986197
2018-08-17 16:27:29,697 - log\train.log - INFO - iteration:1 step:1100/1687, NER loss: 9.479366
2018-08-17 16:27:42,748 - log\train.log - INFO - iteration:1 step:1200/1687, NER loss: 8.002640
2018-08-17 16:27:50,407 - log\train.log - INFO - iteration:1 step:1300/1687, NER loss: 5.957196
2018-08-17 16:27:59,274 - log\train.log - INFO - iteration:1 step:1400/1687, NER loss: 7.050993
